epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
72,1401.51,1.4062,1.00796,0.01117,0.77971,0.45981,0.51159,0.24805,1.80897,1.44967,0.01878,0.000198166,0.000198166,0.000198166
73,1419.84,1.39036,0.9964,0.01094,0.80167,0.4628,0.51609,0.25474,1.79519,1.45153,0.0188,0.000191562,0.000191562,0.000191562
74,1438.19,1.40383,1.02935,0.01104,0.64565,0.48869,0.5121,0.24917,1.80787,1.42417,0.01878,0.000184959,0.000184959,0.000184959
75,1456.34,1.39003,1.00493,0.0112,0.64265,0.49735,0.5097,0.24911,1.82106,1.41144,0.01919,0.000178356,0.000178356,0.000178356
76,1474.65,1.41063,1.00515,0.01101,0.59066,0.50651,0.50924,0.24796,1.81775,1.43398,0.01897,0.000171752,0.000171752,0.000171752
77,1492.87,1.37353,0.9789,0.01127,0.73365,0.49211,0.51208,0.25293,1.81154,1.42222,0.01901,0.000165149,0.000165149,0.000165149
78,1511.07,1.38191,0.9863,0.01133,0.64835,0.49309,0.50689,0.24614,1.80893,1.41162,0.019,0.000158546,0.000158546,0.000158546
79,1529.41,1.38723,0.98048,0.01085,0.62556,0.4939,0.51165,0.25171,1.79557,1.43272,0.01874,0.000151943,0.000151943,0.000151943
80,1547.77,1.37779,0.97549,0.01103,0.59578,0.51813,0.51035,0.24818,1.80535,1.4186,0.01894,0.000145339,0.000145339,0.000145339
81,1565.98,1.38068,0.9893,0.0109,0.63148,0.48971,0.51531,0.25071,1.78997,1.43439,0.01868,0.000138736,0.000138736,0.000138736
82,1584.25,1.38772,0.98265,0.01089,0.64794,0.48106,0.51159,0.24715,1.80644,1.42142,0.01876,0.000132133,0.000132133,0.000132133
83,1602.56,1.37743,0.97757,0.01077,0.62532,0.5139,0.51741,0.25182,1.81707,1.40169,0.01886,0.000125529,0.000125529,0.000125529
84,1620.79,1.37479,0.96951,0.01082,0.65131,0.48342,0.51566,0.25303,1.81825,1.38871,0.0188,0.000118926,0.000118926,0.000118926
85,1638.95,1.37676,0.97307,0.01074,0.60552,0.52672,0.5136,0.2527,1.81971,1.3955,0.01897,0.000112323,0.000112323,0.000112323
86,1657.08,1.37234,0.97684,0.01108,0.67497,0.46011,0.50757,0.24999,1.81212,1.40831,0.01879,0.00010572,0.00010572,0.00010572
87,1675.3,1.34782,0.94212,0.01084,0.6441,0.50034,0.51784,0.25422,1.8078,1.409,0.01892,9.91162e-05,9.91162e-05,9.91162e-05
88,1693.51,1.35582,0.96043,0.01059,0.64745,0.4914,0.51781,0.252,1.80793,1.39461,0.01896,9.25129e-05,9.25129e-05,9.25129e-05
89,1711.76,1.36055,0.9576,0.0107,0.61973,0.51688,0.52651,0.25364,1.80334,1.3733,0.0188,8.59096e-05,8.59096e-05,8.59096e-05
90,1730.05,1.37687,0.97839,0.01083,0.59339,0.52769,0.52256,0.25469,1.81119,1.38079,0.01897,7.93063e-05,7.93063e-05,7.93063e-05
91,1764.94,1.35196,0.83641,0.01251,0.59737,0.51214,0.51019,0.24743,1.83613,1.42005,0.01909,7.2703e-05,7.2703e-05,7.2703e-05
92,1782.78,1.32973,0.80152,0.0123,0.6176,0.49574,0.51278,0.25287,1.82424,1.39831,0.01894,6.60997e-05,6.60997e-05,6.60997e-05
93,1800.5,1.31274,0.79473,0.01213,0.63664,0.49011,0.51886,0.2531,1.83008,1.39137,0.01907,5.94964e-05,5.94964e-05,5.94964e-05
94,1823.08,1.31201,0.80009,0.01198,0.66399,0.47583,0.51038,0.24833,1.83924,1.39246,0.0192,5.28931e-05,5.28931e-05,5.28931e-05
95,1847.12,1.31416,0.79233,0.01173,0.60461,0.50863,0.51765,0.25043,1.82707,1.38653,0.01901,4.62898e-05,4.62898e-05,4.62898e-05
96,1865.6,1.30341,0.78578,0.01182,0.60532,0.53057,0.52253,0.255,1.83011,1.38131,0.01906,3.96865e-05,3.96865e-05,3.96865e-05
97,1883.23,1.301,0.78443,0.0118,0.62823,0.53498,0.52001,0.25184,1.83327,1.38824,0.01908,3.30832e-05,3.30832e-05,3.30832e-05
98,1901.06,1.29641,0.78738,0.01199,0.61952,0.51085,0.5144,0.25189,1.83091,1.39547,0.0191,2.64799e-05,2.64799e-05,2.64799e-05
99,1918.93,1.29099,0.78936,0.01163,0.62157,0.51613,0.51713,0.25132,1.83322,1.39763,0.01911,1.98766e-05,1.98766e-05,1.98766e-05
100,1936.67,1.28656,0.77248,0.01161,0.61413,0.51211,0.51827,0.25375,1.83245,1.39484,0.01908,1.32733e-05,1.32733e-05,1.32733e-05
